"b""#Trump  #painpatientsvote  #DonaldTrump  #IvankaTrump President Trump's Campaign https://t.co/U9ABmrb9uX via @PithyPins""",b'1232053453406507008',b'faye dollar',b'faye_dollar',"b'Pennsylvania, USA'","b""let the truth be told. CRPS sufferer and advocate. Energy worker, I've been in the 4th dimension. Proud Patriot""",b'309',b'445',b'4',b'3094',b'8210',b'False',b'False',b'True',b'False',b'2014-09-03 10:16:11'
b'@bennyjohnson @BernieSanders Happy white collar criminals monitoring Trump properties in India at taxpayer expense.\\u2026 https://t.co/DDYq1bEXVi',b'1232050055286161409',b'Scott Spencer',b'bullriders1',"b'Balboa Peninsula, SoCal USA'","b'Momo trading in the vicinity of PIMCO & ROTH Capital Partners Headquarters, Newport Beach'",b'1334',b'66',b'140',b'113098',b'33257',b'False',b'False',b'False',b'False',b'2012-06-08 04:08:31'
b'Horrible scene....\\n\\n#Jafrabad #CAAProtest #Ahmedabad #Bhajanpura #ArvindKejriwal #CAA_NRC_Protests #TrumpInIndia\\u2026 https://t.co/ByPy699JRl',b'1232049686527148032',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'A pleasure 2 welcome #potus #DonaldTrump #Flotus #MelaniaTrump along with #IvankaTrump #JaredKushner\\n2 powerful cou\\u2026 https://t.co/qO2C4SmdsM',b'1232048371269062657',b'GAURI SANKHE',b'Gaurisankhe2',"b'Mumbai, Maharashtra, India'","b'Social Worker,Activist,Speaker,Truthful confidante,daughter,Aunt,Rising Politician,poet, Author,Human.Careful with my\\U0001f49d \\n@GeneralHospital @thelynnherring fan\\n18'",b'918',b'290',b'27',b'9684',b'7184',b'False',b'False',b'False',b'False',b'2014-05-16 02:48:48'
b'@IvankaTrump Did you buy your own ticket? Where are your poor neglected kids? #IvankaTrump',b'1232048344874156032',b'Resist!',b'SDSunchaser',b'United States',"b'Photographer, artist & writer from the Midwest. Lover of nature & wide open spaces. Passionate about my country. #RightMatters #Warren2020 #Resist #FBR \\U0001f30a\\U0001f1fa\\U0001f1f8'",b'5824',b'5934',b'186',b'222622',b'254611',b'False',b'False',b'False',b'False',b'2009-06-09 16:45:51'
b'In Pictures: US President Donald Trump and First Lady Melania Trump first day in India. #TrumpsTourIndia\\u2026 https://t.co/QF1PhaDAL7',b'1232046288843104258',b'www.THEPIGEONEXPRESS.com',b'TPE_connect',b'online',b'The Pigeon Express - Public connection account of the @PigeonExpress_\\n\\n|| News Feed Loop',b'631',b'111',b'5',b'37770',b'4094',b'False',b'False',b'True',b'False',b'2018-10-30 05:54:46'
b'Like volcano erupted in Delhi.\\nRetweet\\n\\n#Ahmedabad #Chandbagh #CoronavirusOutbreak #CAAProtest #Covid_19\\u2026 https://t.co/Rhgdwdvi6G',b'1232043362628202496',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'Are they angry bcoz they were not invited at ahmedabad airport to meet Trump?\\n\\n#Jafrabad #CAAProtest #Ahmedabad\\u2026 https://t.co/tLqBHhi9fj',b'1232042852298846208',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'@P_K1351 @VaronikaVks @IvankaTrump *PICTURE COMPETITION* - Spot the Fake Princess\\n\\n#IvankaTrump #TrumpInIndia\\u2026 https://t.co/6CyZTPpW4U',b'1232042756849094657',b'PeterJDevlin',b'PeeJayDee159',b'U.K.',b'Retired RN. Cannot abide bigotry & abuse of power. Politicians are elected public servants not prima donnas. No DMs please.',b'351',b'719',b'1',b'11671',b'15519',b'False',b'False',b'True',b'False',b'2013-12-12 15:52:10'
b'What the hell is happening....\\nRetweet\\n\\n#Ahmedabad #Chandbagh #CoronavirusOutbreak #CAAProtest #Covid_19\\u2026 https://t.co/iy52Llx42I',b'1232042304338194432',b'sana ladkawala',b'sabudead',"b'Mumbai, India'",b'???',b'3',b'3',b'0',b'30',b'0',b'False',b'False',b'True',b'False',b'2014-06-20 04:53:36'
b'@NoWay7790 @ShellyLazoff @IvankaTrump *PICTURE COMPETITION* - Spot the Fake Princess\\n\\n#IvankaTrump #TrumpInIndia\\u2026 https://t.co/xF9BRuPaPk',b'1232042175967498240',b'PeterJDevlin',b'PeeJayDee159',b'U.K.',b'Retired RN. Cannot abide bigotry & abuse of power. Politicians are elected public servants not prima donnas. No DMs please.',b'351',b'719',b'1',b'11671',b'15519',b'False',b'False',b'True',b'False',b'2013-12-12 15:52:10'
"b'@Rschooley If #IvankaTrump catches #COVID19, she should be required to stay quarantined in India for 14-days like everyone else.'",b'1232041838120325120',b'Scott Spencer',b'bullriders1',"b'Balboa Peninsula, SoCal USA'","b'Momo trading in the vicinity of PIMCO & ROTH Capital Partners Headquarters, Newport Beach'",b'1334',b'66',b'140',b'113098',b'33257',b'False',b'False',b'False',b'False',b'2012-06-08 04:08:31'
b'Silahkan join ya say VCsnya subuh ini!!\\nSisa 2 slot aja yang minat cek WA lgsg\\nWA082154914217\\U0001f4f2 No basa basi Ay!\\u2026 https://t.co/KjxxpoaC4X',b'1232041593458151424',b'RestiOlivia',b'RestiOlivia5',b'',b'Wa 082154914217',b'2',b'0',b'0',b'17',b'2',b'False',b'False',b'True',b'False',b'2020-02-19 07:38:59'
