b'Follow @UyghurNomad for great ideas on how to control your Muslim population.',b'1232107466562756609',b'Ask Netanyahu',b'AskNetanyahu',b'The Jewish State',b'This account is as authentic as the claim of European Jews to historic Palestine.',b'189',b'19',b'1',b'217',b'18',b'False',b'False',b'True',b'False',b'2015-03-13 16:57:24'
b'U.S. Government Infiltrated by Muslim Brotherhood https://t.co/1v4Z7tEG2T via @YouTube.  He was just murdered',b'1232107431490179072',"b""Peggy O'Donnell""",b'tennesseepeggy',b'',"b'Born in: Pgh,Pa, worked in St Pete, Fl & now retired in Murfreesboro, TN! God Bless America!'",b'2755',b'3015',b'139',b'330774',b'26229',b'False',b'False',b'True',b'False',b'2010-11-18 17:51:04'
"b""Bernie spoke at an Islamic event sponsored by the Muslim Brotherhood. He says he won't attend AIPAC. AIPAC is bi pa\\u2026 https://t.co/ePCsepABpd""",b'1232107402729840642',b'deplorable bartley',b'tedbartley',"b'marshall,texas'",b'RETIRED Batt Chief#IStandWithTrump #MAGA #KAG#IAMACHRISTIAN #ISTANDWITHISRAEL  #IAmGlock #2A #NRALifeMember #IStandFortheFlag',b'744',b'516',b'15',b'29573',b'55515',b'False',b'False',b'True',b'False',b'2011-04-23 03:26:24'
b'@MattMa314 @Tannera2095 @limboss12 @IDF Palestinians are Christian as well as Muslim by the way. As if \\u201c1300 years\\u201d\\u2026 https://t.co/1BVfjpN9O1',b'1232107402557673472',b'Andriana Lee',b'AndrianaP_Lee',b'',"b'Interests history and global politics with a focus on MENA and the Balkans. Studied history, languages. Love baklava and coffee. Progressive includes Palestine.'",b'559',b'1043',b'1',b'8672',b'29090',b'False',b'False',b'True',b'False',b'2011-02-28 11:05:46'
b'muslim man converts to Christianity https://t.co/8xsmcsnUXA via @YouTube',b'1232107371087978496',b'Seida Crown',b'CrownSeida',b'',"b""Commander-in-Chief of God's Generals. CEO life Changers. Aquaculturist. Blogger. Life Coach. Dedicated to success. Mother of Nations. Spirit of God(John 10:30)""",b'73',b'202',b'0',b'375',b'390',b'False',b'False',b'True',b'False',b'2019-01-02 23:54:42'
b'@jijoy_matt Muslim owned businesses.',b'1232107342985977857',b'\\U0001f4a4',b'ToughCrookie',b' Dehradun / Arizona',"b'English is a world commodity, yours with your accents and improvisations is all legit \\U0001f642'",b'1579',b'758',b'27',b'18592',b'14591',b'False',b'False',b'False',b'False',b'2014-01-10 05:56:29'
b'\\U0001f6a8#WarningGraphic \\U0001f6a8\\nA Muslim man getting attacked and a Hindu man trying to protect him. India can learn something f\\u2026 https://t.co/LuJXea8Pcl',b'1232107321800695808',b'Garaad Iskailow.\\u2666\\ufe0f\\U0001f4e1',b'Iskailow1',"b""Adam's Horn.""",b'Chief of Masheekte libaax digital clan. President of Somali Twitter Association.',b'743',b'1547',b'2',b'93',b'17949',b'False',b'False',b'True',b'False',b'2018-08-21 20:57:16'
b'Hadehhh....diaksih aturan dimesjid berbusana muslim malah protes.\\n\\nDikasih aturan berak yg cowok mesti dimana yg ce\\u2026 https://t.co/5ABazc4QZK',b'1232107310878642179',b'SHAWN MENDES',b'WendyTanjung1',b'dimana hatiku senang',"b'hidup kaya mati masuk surga,aamiinn!!!'",b'554',b'120',b'5',b'29117',b'306',b'False',b'False',b'False',b'False',b'2009-07-02 14:16:45'
"b'""I Am Hijabi, Muslim, Black..."": Rep. Ilhan Omar Posts List Describing Herself to Troll Conservatives; Rival Candid\\u2026 https://t.co/lKhBSMmpb9'",b'1232107287050956803',b'AmericAnon \\U0001f31f\\U0001f31f\\U0001f31f',b'AmericAnon57',b'',b'Married Christian Conservative Pro-Life Pro-2A #PatriotsUnited #AmericaFirst #SupportOurTroops #MAGA #WWG1WGA\\n           \\U0001f6abLists \\U0001f6abPorn \\U0001f6abTrolls \\U0001f6abSolicitors',b'40254',b'38974',b'16',b'80258',b'46466',b'False',b'False',b'True',b'False',b'2014-11-13 22:18:49'
b'AND YOU KNOW WHAT MUSLIM WOMEN CANT DO? SPEAK. COVER YOUR WORDS WITH A FLOWER EMOJI TOO. YA HAVE SOME MODESTY PLEAS\\u2026 https://t.co/r9qWfElfgT',b'1232107275806007304',b'shurUGH! \\u2077',b'FlLT7R',b'\\U0001f1e7\\U0001f1e9 she/they \\U0001f51e',b'CREDIT CARD CHOPS\\U0001f4b3\\U0001f52a',b'223',b'253',b'0',b'20336',b'38288',b'False',b'False',b'False',b'False',b'2016-07-27 04:36:12'
