b'@Pinkuizback @_garrywalia @ModiLeDubega pro nahi anti caa tha be',b'1232188817345581061',b'laxman TPN',b'LaxmanJaat88',"b'Barmer, India'",b'',b'233',b'343',b'0',b'7782',b'2483',b'False',b'False',b'True',b'False',b'2010-05-07 04:05:46'
"b""@knowabhilash @satyajithpinku They call themselves Pro CAA group.. But we know who they are.. \\n\\nI don't want the pr\\u2026 https://t.co/kqt2LWTRoA""",b'1232188770251726853',b'YCP Stickering and Paints Dept',b'valhallavaasi',b'Tirupati to NYC',b'Baatasari | Network Architect | Janasainik | Progressive | \\nJai Janasena ! Jai Hind !!\\n...\\nprevID - maarpu2019',b'157',b'637',b'0',b'4449',b'7759',b'False',b'False',b'False',b'False',b'2017-01-11 17:54:07'
"b""Today's advocacy is simpler  and leadership  also.\\n \\nCollect the logics from comments from Twitter,  Facebook Whats\\u2026 https://t.co/g1VVDGWuy7""",b'1232188756532158464',b'KANWAL JIT',b'srikamalje',"b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940, \\u092d\\u093e\\u0930\\u0924'",b'Veteran',b'12',b'36',b'0',b'1202',b'501',b'False',b'False',b'True',b'False',b'2011-03-20 09:23:44'
"b'@VishalDadlani According to you goli chalabewala shahrukh is pro CAA, wah!! Kabhi to Sach bolo'",b'1232188686797639680',b'Dr. K.C.Patel(k.lal)',b'k_lal',b'Ahmedabad ',b'I am doctor (anaesthesiologist)',b'2',b'18',b'0',b'148',b'35',b'False',b'False',b'True',b'False',b'2010-09-24 04:17:34'
"b'@harbhajan_singh leader like kapil mishra ,Anurag Thakur is totally responsible for it...And it is not a clash betw\\u2026 https://t.co/qnZX5o9UNR'",b'1232188677247447051',b'Neha S\\u2763\\ufe0f',b'Death2fascist',b'Calcutta',b'not politically blind ..  Islamophobia\\u274c is a threat.. Student of  Literature. budding learner.. #Antifascist #Indian\\U0001f1ee\\U0001f1f3',b'190',b'69',b'0',b'2400',b'3100',b'False',b'False',b'True',b'False',b'2017-08-08 03:53:39'
"b'@rohini_sgh Mam,kindly explain what is Pro CAA protest ?'",b'1232188667827040256',b'Shaktimaan',b'sabkashaktiman',b'Prithvilok',b'Kilvish ka sarvanash karne aa gaya sab ka Shaktimaan!',b'9',b'101',b'0',b'483',b'1983',b'False',b'False',b'True',b'False',b'2018-10-21 03:37:40'
"b'@anuragkashyap72 wah re jihadi.. Pro CAA ka matlab samajh aa rha h, pr anti CAA k name pr jo tod-phod chal rha hai,\\u2026 https://t.co/LQKMANAFTb'",b'1232188538197667840',b'Rishu',b'Rishu_Dubey20',"b'New Delhi, India'",b'India 1st\\U0001f60a',b'7',b'39',b'0',b'1523',b'826',b'False',b'False',b'True',b'False',b'2019-09-10 10:00:59'
b'\\u0905\\u092c\\u0947 \\u092a\\u0939\\u0932\\u0947 \\u0905\\u092a\\u0928\\u0940 \\u091c\\u093e\\u0924 \\u092c\\u0924\\u093e\\u0964 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u0935\\u093f\\u0930\\u094b\\u0927\\u0940\\u0964 \\u0924\\u0941\\u091d\\u0947 \\u0924\\u094b \\u0915\\u0941\\u0924\\u094d\\u0924\\u093e \\u092d\\u0940 \\u0928 \\u0915\\u093e\\u091f\\u0947\\u0964 \\u0917\\u0928\\u094d\\u0926\\u0940 \\u0928\\u093e\\u0932\\u0940 \\u0915\\u0947 \\u0915\\u0940\\u0921\\u093c\\u0947\\n\\u0905\\u0928\\u0941\\u0930\\u093e\\u0917 \\u0915\\u0936\\u094d\\u092f\\u092a \\u0915\\u093e Tweet \\u0939\\u0941\\u0906 \\u0935\\u093e\\u092f\\u0930\\u0932\\u2026 https://t.co/65lejGj5Pd',b'1232188512574767104',b'Pravin Saraf',b'PravinSaraf1',b'kolkata',"b'Vastu consultant,practising last 25 years'",b'203',b'704',b'4',b'4980',b'5497',b'False',b'False',b'False',b'False',b'2013-11-12 11:33:19'
b'#TelegraphFrontPage Cop to pro-CAA group: \\u2018Go ahead and throw stones\\u2019\\n\\nREAD: https://t.co/IG4XvH7WeQ https://t.co/oqLN1HjfJh',b'1232188483730411521',b'The Telegraph',b'ttindia',"b'Kolkata, India'","b'The unputdownable English newspaper of the ABP group published from Calcutta, India. Retweets are not endorsements.'",b'151092',b'56',b'732',b'37203',b'130',b'True',b'False',b'True',b'False',b'2010-05-07 04:10:03'
b'Delhi riots: Jaffrabad shooter who fired multiple rounds was not a part of pro-CAA mob\\nhttps://t.co/CTRYiWkSOj',b'1232188475857784832',b'The News Minute',b'thenewsminute',b'Bengaluru',"b'Look south, think TNM. News, ground reports and analysis from south India.'",b'140513',b'958',b'956',b'199076',b'1272',b'True',b'False',b'False',b'False',b'2013-12-03 04:23:50'
"b""I've never heard of a more ironical term than a pro CAA protestor. That's like filing a petition in court praying t\\u2026 https://t.co/O67iu3r1Rl""",b'1232188452529033217',b'Kay',b'Carun95',"b'New Delhi, India'",b'Kebabs over anything anyday. Sr.Ass.Editor @IJLPP1. Lawyer by education| Passionate about addressing social/policy issues in India| \\U0001f4e7 karun.95@zohomail.com',b'556',b'3580',b'4',b'12739',b'42988',b'False',b'False',b'False',b'False',b'2011-01-01 16:30:36'
